Date,Open,Close price,Max,Min
2006-04-30,24178.89,24356.29,24535.26,24142.8
2006-03-31,22992.1,23065.09,23110.09,22930.7
2006-02-28,24063.35,23219.99,24164.91,23144.42
2006-01-31,22428.12,22202.7,22520.06,22202.7
2005-12-31,20879.71,20784.74,20921.8,20767.51
2005-11-30,21410.96,21174.35,21410.96,21057.38
2005-10-31,20221.17,20525.53,20525.53,19911.74
2005-09-30,23184.62,22948.69,23409.19,22829.92
2005-08-31,21711.95,21572.89,21922.39,21493.99
2005-07-31,20701.8,20722.64,20777.54,20579.58
2005-06-30,18535.73,18740.66,18883.4,18535.73
2005-05-31,16837.04,16907.81,17108.19,16833.01
2005-04-30,16520.02,16377.74,16643.3,16341.19
2005-03-31,16882.64,17107.63,17165.12,16864.71
2005-02-28,18290.96,18382.6,18787.08,18084.69
2005-01-31,15612.42,15552.51,15629.44,15506.69
2004-12-31,14705.38,14742.57,14756.04,14625.45
2004-11-30,14183.07,14193.88,14258.4,14140.11
2004-10-31,13053.12,13201.03,13234.05,12992.54
2004-09-30,12541.25,12646.58,12718.18,12541.25
2004-08-31,12071.52,12171.2,12223.16,12046.94
2004-07-31,11638.55,11680.65,11689.86,11607.15
2004-06-30,11563.9,11536.95,11655.67,11512.05
2004-05-31,11131.31,11285.13,11285.13,11016.68
2004-04-30,11111.37,11072.44,11206.19,10983.75
2004-03-31,11097.07,10992.29,11163.52,10971.19
2004-02-29,10244.26,10241.94,10285.13,10199.6
2004-01-31,10057.61,10064.01,10102.5,10006.0
2003-12-31,9486.38,9379.99,9497.08,9379.99
2003-11-30,9184.54,9108.21,9184.54,8981.72
2003-10-31,9556.92,9571.32,9634.02,9440.55
2003-09-30,9068.03,8929.79,9097.82,8929.79
2003-08-31,8999.86,9060.48,9098.49,8975.57
2003-07-31,8230.21,8287.93,8306.72,8223.61
2003-06-30,7859.3,7781.77,7861.86,7781.77
2003-05-31,8291.81,8336.85,8351.15,8260.44
2003-04-30,8086.05,8166.32,8166.32,8086.05
2003-03-31,7483.18,7423.29,7494.47,7373.56
2003-02-28,7228.94,7212.14,7255.14,7190.84
2003-01-31,7451.61,7485.8,7524.86,7430.81
2002-12-31,7756.38,7798.29,7801.82,7700.75
2002-11-30,7998.5,7944.86,8042.02,7944.86
2002-10-31,7325.28,7345.41,7415.21,7291.09
2002-09-30,7132.34,7102.01,7176.61,7102.01
2002-08-31,7588.83,7665.07,7685.59,7535.97
2002-07-31,7039.82,7048.55,7176.64,6996.54
2002-06-30,7406.38,7252.64,7435.36,7229.58
2002-05-31,8197.31,8115.21,8241.16,8103.99
2002-04-30,8646.34,8673.56,8712.43,8624.0
2002-03-31,8073.91,8112.69,8112.69,8061.02
2002-02-28,7924.1,7941.58,7944.28,7762.36
2002-01-31,7918.93,8108.22,8161.58,7911.65
2001-12-31,7162.21,7131.13,7162.21,7080.72
2001-11-30,7208.94,7125.2,7245.12,7125.2
2001-10-31,6669.26,6773.14,6773.14,6648.26
2001-09-30,6180.29,6173.92,6230.2,6112.25
2001-08-31,6326.86,6360.17,6360.17,6288.41
2001-07-31,6592.66,6592.81,6610.55,6577.01
2001-06-30,6695.71,6727.95,6727.95,6679.9
2001-05-31,6970.48,7104.47,7104.47,6961.21
2001-04-30,6899.82,6865.72,6940.12,6812.97
2001-03-31,6707.17,6652.5,6720.73,6652.5
2001-02-28,7093.56,7116.83,7148.35,7052.66
2001-01-31,8107.5,8145.81,8145.81,8064.89
2000-12-31,7818.72,7849.75,7885.68,7792.85
2000-11-30,7092.98,6891.29,7166.84,6831.35
2000-10-31,8209.19,8161.53,8236.03,8123.71
2000-09-30,8179.89,8270.41,8304.0,8179.89
2000-08-31,8441.84,8433.19,8443.26,8342.87
2000-07-31,8251.64,8221.29,8277.05,8176.6
2000-06-30,8391.63,8318.3,8420.99,8267.86
2000-05-31,9078.8,9015.87,9102.39,8919.16
2000-04-30,8915.3,8872.49,8934.88,8785.2
2000-03-31,9898.82,10000.64,10023.63,9888.29
2000-02-29,10057.26,10124.65,10137.0,9962.96
2000-01-31,9640.43,9548.9,9662.78,9519.57
